GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,DefaultBambooClient,598,484,31,22,111,94,25,21,3,15
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,7,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,BambooCollectorTask,143,442,28,50,26,103,27,28,4,12
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.collector,BambooSettings,39,23,2,0,17,9,10,6,9,6
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.model,BambooCollector,8,75,1,1,4,20,3,4,2,4
com.capitalone.dashboard:bamboo-build-collector,com.capitalone.dashboard.model,BambooJob,2,48,3,7,1,9,3,5,0,3
